Appartment_type,Price_per_sq_ft,Area,Price,Status,Location
3 BHK ,"7,729",1035,8000000,Ready to move,"Patthri Bagh, Dehradun"
3 BHK ,"4,889",1534,7500000,Ready to move,"Aman Vihar, Dehradun"
3 BHK ,"3,000",1000,3000000,Ready to move,"Tanda Ujjain, Udham Singh Nagar"
3 BHK ,"15,000",2000,30000000,Ready to move,"Ganga Nagar, Rishikesh"
3 BHK ,"4,166",1560,6500000,Ready to move,"Modipuram, Roorkee"
3 BHK ,"14,619",1710,25000000,Under Construction,"Jhanda Mohalla, Dehradun"
3 BHK ,"2,250",2000,4500000,Ready to move,"Kaulagarh, Dehradun"
2 BHK ,"5,000",1100,5500000,Ready to move,"Rajender Nagar, Dehradun"
2 BHK ,"1,777",1350,2400000,Ready to move,"Vikasnagar, Dehradun"
3 BHK ,"15,000",2500,37500000,Ready to move,"Ayarpatta, Nainital"
9 BHK ,"3,472",3600,12500000,Ready to move,"Manduwala, Dehradun"
1 BHK ,"3,846",650,2500000,Ready to move,"Govind Vihar, Dehradun"
1 BHK ,"4,225",400,1690000,Ready to move,"IDPL Colony, Rishikesh"
4 BHK ,"6,888",2250,15500000,Ready to move,"Sukha, Nainital"
3 BHK ,"3,750",1600,6000000,Ready to move,"Vikasnagar, Dehradun"
3 BHK ,"7,858",1807,14200000,Ready to move,"Malsi, Dehradun"
3 BHK ,"3,864",1809,6990000,Ready to move,"Tanda Ujjain, Udham Singh Nagar"
2 BHK ,"5,000",1500,7500000,Ready to move,"Dehrakhas, Dehradun"
2 BHK ,"5,445",955,5200000,Ready to move,"Rudrapur, Udham Singh Nagar"
3 BHK ,"15,000",2000,30000000,Under Construction,"Kishanpur, Dehradun"
2 BHK ,"7,400",1306,9664400,Ready to move,"Malsi, Dehradun"
3 BHK ,"4,797",1980,9500000,Under Construction,"Nirmal Bag, Rishikesh"
3 BHK ,"4,727",1650,7800000,Ready to move,"Patthri Bagh, Dehradun"
3 BHK ,"6,710",3800,25500000,Ready to move,"Kulhan, Dehradun"
3 BHK ,"5,733",1500,8600000,Ready to move,"Danda Lakhond, Dehradun"
2 BHK ,"12,000",500,6000000,Under Construction,"Pondha, Dehradun"
3 BHK ,"4,883",2150,10500000,Ready to move,"Kulhan, Dehradun"
3 BHK ,"4,316",1550,6690000,Ready to move,"Govind Vihar, Dehradun"
1 BHK ,"5,555",810,4500000,Ready to move,"Kishanpur, Dehradun"
3 BHK ,"3,950",1975,7801250,Ready to move,"Kulhan, Dehradun"
2 BHK ,"3,211",1500,4816500,Ready to move,"Aneki Hetmapur, Haridwar"
3 BHK ,"11,111",1098,12200000,Ready to move,"Kulhan, Dehradun"
3 BHK ,"5,000",1000,5000000,Ready to move,"Balawala, Dehradun"
4 BHK ,"3,632",1294,4700000,Ready to move,"Ganeshpur, Roorkee"
2 BHK ,"5,368",950,5100000,Ready to move,"Badheri Rajputan, Haridwar"
3 BHK ,"10,544",900,9490000,Ready to move,"Jakhan, Dehradun"
2 BHK ,"4,960",1250,6200000,Ready to move,"Bahmanwala, Dehradun"
3 BHK ,"4,682",1730,8100000,Ready to move,"Jakhan, Dehradun"
4 BHK ,"3,000",3000,9000000,Ready to move,"Rudrapur, Udham Singh Nagar"
3 BHK ,"7,400",1543,11418200,Ready to move,"Malsi, Dehradun"
4 BHK ,"7,777",1800,14000000,Ready to move,"Aman Vihar, Dehradun"
3 BHK ,"4,062",1600,6500000,Ready to move,"Dehrakhas, Dehradun"
2 BHK ,"7,000",1235,8645000,Ready to move,"Bhagwant Pur, Dehradun"
4 BHK ,"5,625",4000,22500000,Ready to move,"Rajpur, Dehradun"
1 BHK ,"8,842",475,4200000,Under Construction,"Almora Mukteshwar, Nainital"
3 BHK ,"5,238",2100,11000000,Ready to move,"Govind Vihar, Dehradun"
2 BHK ,"3,750",2000,7500000,Under Construction,"banjarawala, Dehradun"
8 BHK ,"7,575",3300,25000000,Ready to move,"Ajabpur Khurd, Dehradun"
3 BHK ,"5,337",1555,8300000,Ready to move,"Badheri Rajputan, Haridwar"
1 BHK ,"7,413",580,4300000,Ready to move,"Kulhan, Dehradun"
3 BHK ,"6,000",1250,7500000,Ready to move,"Govind Vihar, Dehradun"
3 BHK ,"7,809",2305,18000000,Ready to move,"Kulhan, Dehradun"
3 BHK ,"11,190",2100,23500000,Resale,"Jwalapur, Haridwar"
3 BHK ,"6,627",851,5640000,New,"Race Course, Dehradun"
2 BHK ,"12,420",500,6210000,Under Construction,"Pondha, Dehradun"
3 BHK ,"10,000",900,9000000,Ready to move,"Majra, Dehradun"
4 BHK ,"5,000",2200,11000000,Ready to move,"Danda Lakhond, Dehradun"
3 BHK ,"1,666",2700,4498200,New,"Gandhi Nagar, Roorkee"
3 BHK ,"14,619",1710,25000000,Under Construction,"Jhanda Mohalla, Dehradun"
3 BHK ,436,17244,7525000,Resale,"Pondha, Dehradun"
2 BHK ,"3,950",1515,5984250,Ready to move,"Kulhan, Dehradun"
2 BHK ,"6,521",1150,7500000,Under Construction,"banjarawala, Dehradun"
1 BHK ,"5,000",700,3500000,Ready to move,"Malsi, Dehradun"
2 BHK ,"2,533",750,1900000,Ready to move,"Jwalapur, Haridwar"
3 BHK ,"6,000",1950,11700000,Under Construction,"Ajabpur Kalan, Dehradun"
4 BHK ,"5,523",1575,8700000,Ready to move,"Prem Nagar, Dehradun"
6 BHK ,"4,166",6000,25000000,Ready to move,"Garhi Cantt, Dehradun"
4 BHK ,"4,400",2250,9900000,Under Construction,"Majra, Dehradun"
2 BHK ,"3,843",1249,4800000,Ready to move,"Kulhan, Dehradun"
3 BHK ,"5,172",1450,7500000,Ready to move,"Aman Vihar, Dehradun"
3 BHK ,"7,692",1300,10000000,Ready to move,"Badripur, Dehradun"
3 BHK ,"6,481",2700,17500000,Resale,"Kishanpur, Dehradun"
3 BHK ,"8,571",2100,18000000,Resale,"Kulhan, Dehradun"
2 BHK ,"6,642",828,5500000,Ready to move,"Ajabpur Kalan, Dehradun"
2 BHK ,"5,200",1250,6500000,Ready to move,"Bhagwant Pur, Dehradun"
2 BHK ,"5,445",955,5200000,Ready to move,"Simla Bahadur, Udham Singh Nagar"
3 BHK ,"5,000",2000,10000000,Ready to move,"Malsi, Dehradun"
3 BHK ,"9,754",2204,21500000,Ready to move,"Rajpur, Dehradun"
3 BHK ,"4,888",2250,11000000,Ready to move,"Aman Vihar, Dehradun"
3 BHK ,"7,000",1660,11620000,Ready to move,"Bhagwant Pur, Dehradun"
3 BHK ,"3,750",2000,7500000,Ready to move,"banjarawala, Dehradun"
3 BHK ,"5,314",1035,5500000,Ready to move,"Badheri Rajputan, Haridwar"
3 BHK ,"998",2700,2694999,New,"Chiliyanaula, Almora"
3 BHK ,"1,346",5200,7000000,Resale,"Mukteshwar, Nainital"
3 BHK ,"14,619",1710,25000000,Under Construction,"Jhanda Mohalla, Dehradun"
3 BHK ,"14,619",1710,25000000,Under Construction,"Jhanda Mohalla, Dehradun"
3 BHK ,"14,619",1710,25000000,Under Construction,"Jhanda Mohalla, Dehradun"
3 BHK ,"14,619",1710,25000000,Under Construction,"Jhanda Mohalla, Dehradun"
3 BHK ,"14,619",1710,25000000,Under Construction,"Jhanda Mohalla, Dehradun"
3 BHK ,"14,619",1710,25000000,Under Construction,"Jhanda Mohalla, Dehradun"
3 BHK ,"14,619",1710,25000000,Under Construction,"Jhanda Mohalla, Dehradun"
3 BHK ,"14,619",1710,25000000,Under Construction,"Jhanda Mohalla, Dehradun"
3 BHK ,436,17244,7525000,Resale,"Pondha, Dehradun"
3 BHK ,436,17244,7525000,Resale,"Pondha, Dehradun"
3 BHK ,436,17244,7525000,Resale,"Pondha, Dehradun"
3 BHK ,436,17244,7525000,Resale,"Pondha, Dehradun"
3 BHK ,985,2200,2169000,New,"Chiliyanaula, Almora"
3 BHK ,"1,016",2700,2744444,New,"Chiliyanaula, Almora"
3 BHK ,"9,000",240,2160000,New,"Chiliyanaula, Almora"
4 BHK ,"5,555",2196,12200000,Ready to move,"Govind Vihar, Dehradun"
3 BHK ,"7,350",2000,14700000,Ready to move,"Govind Vihar, Dehradun"
3 BHK ,"4,814",1350,6500000,Ready to move,"Govind Vihar, Dehradun"
4 BHK ,"5,438",2556,13900000,Ready to move,"Govind Vihar, Dehradun"
2 BHK ,"5,909",1100,6500000,Ready to move,"Govind Vihar, Dehradun"
4 BHK ,"5,067",2664,13500000,Ready to move,"Govind Vihar, Dehradun"
3 BHK ,"5,227",2200,11500000,Ready to move,"Govind Vihar, Dehradun"
2 BHK ,"5,973",1490,8900000,Under Construction,"Ajabpur Kalan, Dehradun"
3 BHK ,"6,682",1706,11400000,Ready to move,"Chironwali, Dehradun"
3 BHK ,"6,712",1758,11800000,Ready to move,"Chironwali, Dehradun"
2 BHK ,"7,400",1239,9168600,Ready to move,"Malsi, Dehradun"
3 BHK ,"6,000",2000,12000000,Under Construction,"Ajabpur Kalan, Dehradun"
3 BHK ,"7,219",3186,23000000,Ready to move,"Govind Vihar, Dehradun"
3 BHK ,"4,666",1500,7000000,Ready to move,"Govind Vihar, Dehradun"
3 BHK ,"4,000",2000,8000000,Ready to move,"Govind Vihar, Dehradun"
3 BHK ,"6,000",2000,12000000,Under Construction,"Badripur, Dehradun"
3 BHK ,"6,000",1950,11700000,Under Construction,"Badripur, Dehradun"
2 BHK ,"6,000",1490,8940000,Under Construction,"Badripur, Dehradun"
4 BHK ,"5,430",2394,13000000,Ready to move,"Govind Vihar, Dehradun"
3 BHK ,"5,185",1350,7000000,Ready to move,"Majra, Dehradun"
3 BHK ,"7,659",2350,18000000,Ready to move,"Kulhan, Dehradun"
3 BHK ,"5,000",1800,9000000,Ready to move,"Seema Dwar, Dehradun"
4 BHK ,"5,000",3000,15000000,Ready to move,"Kaonli, Dehradun"
4 BHK ,"5,000",1700,8500000,Ready to move,"Majra, Dehradun"
4 BHK ,"4,166",1800,7500000,Ready to move,"Majra, Dehradun"
3 BHK ,"6,666",846,5640000,Resale,"Race Course, Dehradun"
3 BHK ,"6,000",2000,12000000,Under Construction,"Badripur, Dehradun"
2 BHK ,"6,000",1490,8940000,Under Construction,"Badripur, Dehradun"
3 BHK ,"6,000",1950,11700000,Under Construction,"Ajabpur Kalan, Dehradun"
4 BHK ,"8,733",3000,26200000,Ready to move,"Govind Vihar, Dehradun"
2 BHK ,"6,002",1566,9400000,Ready to move,"Govind Vihar, Dehradun"
3 BHK ,"4,523",2100,9500000,Ready to move,"Majra, Dehradun"
3 BHK ,"6,000",1950,11700000,Under Construction,"Badripur, Dehradun"
3 BHK ,"4,722",1800,8500000,Ready to move,"Govind Vihar, Dehradun"
3 BHK ,"7,777",2160,16800000,Resale,"Govind Vihar, Dehradun"
3 BHK ,"4,533",1500,6800000,Ready to move,"Majra, Dehradun"
3 BHK ,"1,666",1350,2249100,New,"Gandhi Nagar, Roorkee"
3 BHK ,"1,666",990,1649340,New,"Gandhi Nagar, Roorkee"
3 BHK ,"8,750",3200,28000000,Ready to move,"Chironwali, Dehradun"
3 BHK ,"5,505",1998,11000000,Ready to move,"Govind Vihar, Dehradun"
3 BHK ,"5,505",1998,11000000,Ready to move,"Govind Vihar, Dehradun"
3 BHK ,"1,777",5625,10000000,Resale,"Bhauwala, Dehradun"
3 BHK ,"1,777",5625,10000000,Resale,"Rajpur, Dehradun"
3 BHK ,"1,777",6300,11200000,Resale,"Rajpur, Dehradun"
2 BHK ,"12,199",500,6099999,Under Construction,"Pondha, Dehradun"
3 BHK ,"4,731",2050,9700000,Ready to move,"Kanwali, Dehradun"
4 BHK ,"5,000",1700,8500000,Ready to move,"Majra, Dehradun"
4 BHK ,"6,486",1850,12000000,Ready to move,"Niranjanpur, Dehradun"
4 BHK ,"6,222",2250,14000000,Ready to move,"Kaonli, Dehradun"
4 BHK ,"5,666",3000,17000000,Ready to move,"Majra, Dehradun"
3 BHK ,"4,615",1820,8400000,Ready to move,"Majra, Dehradun"
3 BHK ,"5,800",1500,8700000,Ready to move,"Kanwali, Dehradun"
3 BHK ,"6,000",1950,11700000,Under Construction,"Badripur, Dehradun"
3 BHK ,"5,000",1920,9600000,Resale,"Aman Vihar, Dehradun"
1 BHK ,"4,153",650,2700000,Under Construction,"Nirmal Bag, Rishikesh"
2 BHK ,"6,025",1195,7200000,Ready to move,"Govind Vihar, Dehradun"
3 BHK ,"2,444",1350,3300000,Resale,"Vikasnagar, Dehradun"
3 BHK ,"4,687",1600,7500000,Ready to move,"Kanwali, Dehradun"
3 BHK ,"2,777",2700,7500000,Resale,"Kishanpur, Dehradun"
3 BHK ,"3,131",1980,6200000,Resale,"Nirmal Bag, Rishikesh"
3 BHK ,"3,703",2160,8000000,Resale,"Nirmal Bag, Rishikesh"
1 BHK ,"4,383",730,3200000,Ready to move,"Govind Vihar, Dehradun"
3 BHK ,"4,423",2600,11500000,Ready to move,"Aman Vihar, Dehradun"
3 BHK ,"4,565",2300,10500000,Ready to move,"Kaonli, Dehradun"
2 BHK ,"4,761",1050,5000000,Ready to move,"Thakurpur, Dehradun"
